Id,CID,LastName,FirstName,Party,Office,FECCandID
234,N00033399,Holding,George,R,NC02,H2NC13110
235,N00038429,Hollingsworth,Trey,R,IN09,H6IN09176
236,N00001821,Hoyer,Steny H,D,MD05,H2MD05155
237,N00033630,Hudson,Richard,R,NC08,H2NC08185
238,N00033030,Huffman,Jared,D,CA02,H2CA06259
239,N00030673,Huizenga,Bill,R,MI02,H0MI02094
240,N00031104,Hultgren,Randy,R,IL14,H0IL14080
241,N00029258,Hunter,Duncan D,R,CA50,H8CA52052
242,N00031417,Hurd,Will,R,TX23,H0TX23086
243,N00043298,Hyde-Smith,Cindy,R,MSS1,S8MS00261
244,N00005582,Inhofe,James M,R,OKS2,S4OK00083
245,N00002593,Isakson,Johnny,R,GAS2,S6GA00119
246,N00007017,Issa,Darrell,R,CA49,H0CA48024
247,N00005818,Jackson Lee,Lee, Sheila,D,TX18,H4TX18054
248,N00038858,Jayapal,Pramila,D,WA07,H6WA07458
249,N00033640,Jeffries,Hakeem,D,NY08,H2NY10092
250,N00035531,Jenkins,Evan,R,WV03,S8WV00127
251,N00029077,Jenkins,Lynn,R,KS02,H8KS02090
252,N00032088,Johnson,Bill,R,OH06,H0OH06189
253,N00008122,Johnson,Eddie Bernice,D,TX30,H2TX00015
254,N00027848,Johnson,Hank,D,GA04,H6GA04129
255,N00039106,Johnson,Mike,R,LA04,H6LA04138
256,N00032546,Johnson,Ron,R,WIS2,S0WI00197
257,N00008028,Johnson,Sam,R,TX03,H2TX03118
258,N00042648,Jones,Brenda,D,MI13,H8MI13243
259,N00024817,Jones,Doug,D,ALS1,S0AL00156
260,N00002299,Jones,Walter B Jr,R,NC03,H2NC01081
261,N00027894,Jordan,Jim,R,OH04,H6OH04082
262,N00035007,Joyce,David P,R,OH14,H2OH14064
263,N00033177,Kaine,Tim,D,VAS1,S2VA00142
264,N00003522,Kaptur,Marcy,D,OH09,H2OH09031
265,N00035934,Katko,John,R,NY24,H4NY24073
266,N00031933,Keating,Bill,D,MA09,H0MA10082
267,N00031647,Kelly,Mike,R,PA03,H0PA03271
268,N00035215,Kelly,Robin,D,IL02,H2IL02172
269,N00037003,Kelly,Trent,R,MS01,H6MS01131
270,N00034044,Kennedy,Joe III,D,MA04,H2MA04073
271,N00026823,Kennedy,John,R,LAS2,S4LA00065
272,N00026427,Khanna,Ro,D,CA17,H4CA12055
273,N00033530,Kihuen,Ruben,D,NV04,H2NV00050
274,N00033395,Kildee,Dan,D,MI05,H2MI05119
275,N00034453,Kilmer,Derek,D,WA06,H2WA06129
276,N00004403,Kind,Ron,D,WI03,H6WI03099
277,N00034580,King,Angus,I,MES1,S2ME00109
278,N00001193,King,Pete,R,NY02,H2NY03089
279,N00025237,King,Steven A,R,IA04,H2IA05072
280,N00030667,Kinzinger,Adam,R,IL16,H0IL11052
281,N00027500,Klobuchar,Amy,D,MNS2,S6MN00267
282,N00035820,Knight,Steve,R,CA25,H4CA25123
283,N00033240,Krishnamoorthi,Raja,D,IL08,H6IL08147
284,N00030875,Kuster,Ann,D,NH02,H0NH02181
285,N00025445,Kustoff,David,R,TN08,H2TN07103
286,N00006406,Kyl,Jon,R,AZS1,S4AZ00030
287,N00031377,Labrador,Raul,R,ID01,H0ID01253
288,N00037031,LaHood,Darin,R,IL18,H6IL18088
289,N00033987,LaMalfa,Doug,R,CA01,H2CA02142
290,N00041870,Lamb,Conor,D,PA18,H8PA18181
291,N00028133,Lamborn,Douglas L,R,CO05,H6CO05159
292,N00000898,Lance,Leonard,R,NJ07,H6NJ12136
293,N00009724,Langevin,Jim,D,RI02,H0RI02139
294,N00031129,Lankford,James,R,OKS1,S4OK00232
295,N00009759,Larsen,Rick,D,WA02,H0WA02080
296,N00000575,Larson,John B,D,CT01,H8CT01046
297,N00012233,Latta,Robert E,R,OH05,H8OH05036
298,N00034068,Lawrence,Brenda,D,MI14,H2MI14111
299,N00030642,Lawson,Al,D,FL05,H0FL02086
300,N00009918,Leahy,Patrick,D,VTS2,S4VT00017
301,N00008046,Lee,Barbara,D,CA13,H8CA09060
302,N00031696,Lee,Mike,R,UTS2,S0UT00165
303,N00042056,Lesko,Debbie,R,AZ08,H8AZ08158
304,N00003950,Levin,Sander,D,MI09,H2MI17023
305,N00038400,Lewis,Jason,R,MN02,H6MN02149
306,N00002577,Lewis,John,D,GA05,H6GA05217
307,N00035825,Lieu,Ted,D,CA33,H4CA33119
308,N00027239,Lipinski,Daniel,D,IL03,H4IL03077
309,N00000851,LoBiondo,Frank,R,NJ02,H2NJ02037
310,N00027741,Loebsack,David,D,IA02,H6IA02146
311,N00007479,Lofgren,Zoe,D,CA19,H4CA16049
312,N00030676,Long,Billy,R,MO07,H0MO07113
313,N00035347,Loudermilk,Barry,R,GA11,H4GA11061
314,N00033842,Love,Mia,R,UT04,H2UT04023
315,N00033274,Lowenthal,Alan,D,CA47,H2CA00104
316,N00001024,Lowey,Nita M,D,NY17,H8NY20056
317,N00005559,Lucas,Frank D,R,OK03,H4OK06056
318,N00030026,Luetkemeyer,Blaine,R,MO03,H8MO09153
319,N00029562,Lujan,Ben Ray,D,NM03,H8NM03196
320,N00013855,Lynch,Stephen F,D,MA08,H2MA09072
321,N00036155,MacArthur,Thomas,R,NJ03,H4NJ03130
322,N00000078,Maloney,Carolyn B,D,NY12,H2NY14037
323,N00034277,Maloney,Sean Patrick,D,NY18,H2NY22139
324,N00032838,Manchin,Joe,D,WVS1,S0WV00090
325,N00026710,Marchant,Kenny,R,TX24,H4TX24094
326,N00031777,Marino,Tom,R,PA10,H0PA10078
327,N00000270,Markey,Ed,D,MAS2,S4MA00028
328,N00037034,Marshall,Roger,R,KS01,H6KS01179
329,N00034041,Massie,Thomas,R,KY04,H2KY04121
330,N00037269,Mast,Brian,R,FL18,H6FL18097
331,N00037161,Masto,Catherine Cortez,D,NVS2,S6NV00200
332,N00027459,Matsui,Doris O,D,CA06,H6CA05195
333,N00006424,McCain,John,R,AZS1,S6AZ00019
334,N00028152,McCarthy,Kevin,R,CA23,H6CA22125
335,N00027694,McCaskill,Claire,D,MOS2,S6MO00305
336,N00026460,McCaul,Michael,R,TX10,H4TX10093
337,N00006863,McClintock,Tom,R,CA04,H8CA04152
338,N00012942,McCollum,Betty,D,MN04,H0MN04049
339,N00003389,McConnell,Mitch,R,KYS1,S2KY00012
340,N00039327,McEachin,Donald,D,VA04,H6VA04061
341,N00000179,McGovern,James P,D,MA02,H4MA03022
342,N00026627,McHenry,Patrick,R,NC10,H4NC10047
343,N00031681,McKinley,David,R,WV01,H0WV01072
344,N00026926,McNerney,Jerry,D,CA09,H4CA11081
345,N00033982,McSally,Martha,R,AZ02,S8AZ00221
346,N00033631,Meadows,Mark R,R,NC11,H2NC11080
347,N00031134,Meehan,Patrick,R,PA07,H0PA07082
348,N00001171,Meeks,Gregory W,D,NY05,H8NY06048
349,N00000699,Menendez,Robert,D,NJS1,S6NJ00289
350,N00034547,Meng,Grace,D,NY06,H2NY06116
351,N00029303,Merkley,Jeff,D,ORS1,S8OR00207
352,N00012546,Messer,Luke,R,IN06,S8IN00163
353,N00036274,Mitchell,Paul,R,MI10,H4MI04118
354,N00036275,Moolenaar,John,R,MI04,H4MI04126
355,N00033814,Mooney,Alex,R,WV02,H4WV02080
356,N00026914,Moore,Gwen,D,WI04,H4WI04183
357,N00005282,Moran,Jerry,R,KSS2,S0KS00091
358,N00043207,Morelle,Joseph D,D,NY25,H8NY25105
359,N00035431,Moulton,Seth,D,MA06,H4MA06090
360,N00033410,Mullin,Markwayne,R,OK02,H2OK02083
361,N00031412,Mulvaney,Mick,R,SC05,H0SC05031
362,N00026050,Murkowski,Lisa,R,AKS2,S4AK00099
363,N00027566,Murphy,Christopher S,D,CTS1,S2CT00132
364,N00040133,Murphy,Stephanie,D,FL07,H6FL07140
365,N00024992,Murphy,Tim,R,PA18,H2PA18143
366,N00007876,Murray,Patty,D,WAS2,S2WA00189
367,N00000939,Nadler,Jerrold,D,NY10,H2NY17071
368,N00006789,Napolitano,Grace,D,CA32,H8CA34068
369,N00000153,Neal,Richard E,D,MA01,H8MA02041
370,N00009926,Nelson,Bill,D,FLS1,S8FL00166
371,N00036403,Newhouse,Dan,R,WA04,H4WA04104
372,N00032022,Noem,Kristi,R,SD01,H0SD00054
373,N00021207,Nolan,Rick,D,MN08,H2MN08111
374,N00036154,Norcross,Don,D,NJ01,H4NJ01084
375,N00027783,Norman,Ralph,R,SC05,H8SC05158
376,N00001692,Norton,Eleanor Holmes,D,DC00,H0DC00058
377,N00007248,Nunes,Devin,R,CA22,H8CA20059
378,N00037515,O'Halleran,Tom,D,AZ01,H6AZ01199
379,N00033540,O'Rourke,Beto,D,TX16,S8TX00285
380,N00029285,Olson,Pete,R,TX22,H8TX22107
381,N00031958,Palazzo,Steven,R,MS04,H0MS04120
382,N00000781,Pallone,Frank Jr,D,NJ06,H8NJ03073
383,N00035691,Palmer,Gary,R,AL06,H4AL06098
384,N00038601,Panetta,Jimmy,D,CA20,H6CA20152
385,N00000751,Pascrell,Bill Jr,D,NJ09,H6NJ08118
386,N00030836,Paul,Rand,R,KYS2,S0KY00156
387,N00029391,Paulsen,Erik,R,MN03,H8MN03077
388,N00034639,Payne,Donald M Jr,D,NJ10,H2NJ10154
389,N00012672,Pearce,Steve,R,NM02,H2NM02126
390,N00007360,Pelosi,Nancy,D,CA12,H8CA05035
391,N00035516,Perdue,David,R,GAS1,S4GA11285
392,N00027510,Perlmutter,Ed,D,CO07,H6CO07023
393,N00034120,Perry,Scott,R,PA04,H2PA04135
394,N00029277,Peters,Gary,D,MIS1,S4MI00355
395,N00033591,Peters,Scott,D,CA52,H2CA52089
396,N00004558,Peterson,Collin,D,MN07,H2MN07014
397,N00013817,Pingree,Chellie,D,ME01,H8ME01120
398,N00034416,Pittenger,Robert,R,NC09,H2NC09134
399,N00035000,Plaskett,Stacey,D,VI00,H2VI00082
400,N00033549,Pocan,Mark,D,WI02,H2WI02124
401,N00026457,Poe,Ted,R,TX02,H4TX02108
402,N00034584,Poliquin,Bruce,R,ME02,H4ME02234
403,N00029127,Polis,Jared,D,CO02,H8CO02137
404,N00030744,Pompeo,Mike,R,KS04,H0KS04051
405,N00003682,Portman,Rob,R,OHS2,S0OH00133
406,N00029662,Posey,Bill,R,FL08,H8FL15107
407,N00002260,Price,David,D,NC04,H6NC04037
408,N00026160,Price,Tom,R,GA06,H4GA06087
409,N00030581,Quigley,Mike,D,IL05,H0IL05096
410,N00007635,Radewagen,Amata Coleman,R,AS00,H4AS00036
411,N00037036,Raskin,Jamie,D,MD08,H6MD08457
412,N00035972,Ratcliffe,John Lee,R,TX04,H4TX04153
413,N00000362,Reed,Jack,D,RIS2,S6RI00163
414,N00030949,Reed,Tom,R,NY23,H0NY29054
415,N00026885,Reichert,Dave,R,WA08,H4WA08071
416,N00031127,Renacci,Jim,R,OH16,S8OH00102
417,N00035927,Rice,Kathleen,D,NY04,H4NY04075
418,N00033832,Rice,Tom,R,SC07,H2SC07066
419,N00030184,Richmond,Cedric,D,LA02,H8LA02054
420,N00029441,Risch,James E,R,IDS1,S8ID00092
421,N00005285,Roberts,Pat,R,KSS1,S6KS00080
422,N00030768,Roby,Martha,R,AL02,H0AL02087
423,N00038414,Rochester,Lisa Blunt,D,DE01,H6DE00206
424,N00026314,Rodgers,Cathy McMorris,R,WA05,H4WA05077
425,N00028463,Roe,Phil,R,TN01,H6TN01388
426,N00003473,Rogers,Hal,R,KY05,H0KY05015
427,N00024759,Rogers,Mike D,R,AL03,H2AL03032
428,N00007151,Rohrabacher,Dana,R,CA48,H8CA42061
429,N00031741,Rokita,Todd,R,IN04,S8IN00189
430,N00040007,Rooney,Francis,R,FL19,H6FL19087
431,N00029018,Rooney,Tom,R,FL17,H8FL16022
432,N00002858,Ros-Lehtinen,Ileana,R,FL27,H0FL18025
433,N00038734,Rosen,Jacky,D,NV03,S8NV00156
434,N00004719,Roskam,Peter,R,IL06,H6IL06117
435,N00030645,Ross,Dennis,R,FL15,H0FL12101
436,N00031253,Rothfus,Keith J,R,PA12,H0PA04220
437,N00035187,Rounds,Mike,R,SDS2,S4SD00049
438,N00033527,Rouzer,David,R,NC07,H2NC07096
439,N00006671,Roybal-Allard,Lucille,D,CA40,H2CA33048
440,N00008264,Royce,Ed,R,CA39,H6CA39020
441,N00030612,Rubio,Marco,R,FLS2,S0FL00338
442,N00033510,Ruiz,Raul,D,CA36,H2CA36439
443,N00025482,Ruppersberger,Dutch,D,MD02,H2MD02160
444,N00004887,Rush,Bobby L,D,IL01,H2IL01042
445,N00036175,Russell,Steven,R,OK05,H4OK05132
446,N00039777,Rutherford,John,R,FL04,H6FL04105
447,N00004357,Ryan,Paul,R,WI01,H8WI01024
448,N00025280,Ryan,Tim,D,OH13,H2OH17109
449,N00030418,Sablan,Gregorio,I,MP00,H8MP00041
450,N00024870,Sanchez,Linda,D,CA38,H2CA39078
451,N00000528,Sanders,Bernie,I,VTS1,S4VT00033
452,N00002424,Sanford,Mark,R,SC01,H4SC01073
453,N00027751,Sarbanes,John,D,MD03,H6MD03292
454,N00035544,Sasse,Ben,R,NES2,S4NE00090
455,N00009660,Scalise,Steve,R,LA01,H0LA01087
456,N00042706,Scanlon,Mary Gay,D,PA07,H8PA07200
457,N00004724,Schakowsky,Jan,D,IL09,H8IL09067
458,N00028138,Schatz,Brian,D,HIS1,S4HI00136
459,N00009585,Schiff,Adam,D,CA28,H0CA27085
460,N00033101,Schneider,Brad,D,IL10,H2IL10068
461,N00030071,Schrader,Kurt,D,OR05,H8OR05107
462,N00026106,Schultz,Debbie Wasserman,D,FL23,H4FL20023
463,N00001093,Schumer,Charles E,D,NYS2,S8NY00082
464,N00006460,Schweikert,David,R,AZ06,H4AZ06045
465,N00032457,Scott,Austin,R,GA08,H0GA08099
466,N00002147,Scott,Bobby,D,VA03,H6VA01117
467,N00024871,Scott,David,D,GA13,H2GA13012
